Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C),Humidity Avg. (%),Precip. Accumulated (mm),Precip. (mm),Wind Speed 2 m Avg. (km/h),Wind Speed 10 m Avg. (km/h),Wind Dir. 10 m Avg. (°),Precip. Long Term (mm),Air Temp. Avg. Long Term (°C),Air Temp. Avg. Min. Long Term (°C),Air Temp. Avg. Max. Long Term (°C),Growing Degree Days Long Term (base 5°C) (GDD),Corn Heat Units Long Term (CHU),Frost Probability 0°C (%),ET. Std-Grass (mm),Growing Degree Days (base 5°C) (GDD),Corn Heat Units (CHU),Potato Heat Units (PHU)
Rosalind AGCM,2007-03-19,,,,,,,,,,848.8,-3,-8,2,1,0,100,,,,
Rosalind AGCM,2007-03-20,,,,,,,,,,849.5,-3.1,-8.5,2.3,1,0,100,,,,
Rosalind AGCM,2007-03-21,,,,,,,,,,849.9,-3,-7.9,1.9,1.1,0,100,,,,
Rosalind AGCM,2007-03-22,,,,,,,,,,850.5,-4,-9,1.1,1.2,0,100,,,,
Rosalind AGCM,2007-03-23,,,,,,,,,,851.4,-3.4,-8.5,1.6,1.3,0,100,,,,
Rosalind AGCM,2007-03-24,,,,,,,,,,852,-3.3,-8.5,1.9,1.4,0,100,,,,
Rosalind AGCM,2007-03-25,,,,,,,,,,852.3,-2.9,-8.9,3,1.4,0,100,,,,
Rosalind AGCM,2007-03-26,,,,,,,,,,852.8,-2.1,-7.6,3.3,1.5,0,100,,,,
Rosalind AGCM,2007-03-27,,,,,,,,,,853.8,-1.8,-7.5,3.9,1.6,0,100,,,,
Rosalind AGCM,2007-03-28,,,,,,,,,,854.4,-1.3,-6.8,4.2,1.7,0,100,,,,
Rosalind AGCM,2007-03-29,,,,,,,,,,854.8,-0.4,-6.5,5.8,1.9,0,100,,,,
Rosalind AGCM,2007-03-30,,,,,,,,,,855.5,0.3,-5.2,5.7,2.3,0,100,,,,
Rosalind AGCM,2007-03-31,,,,,,,,,,856,0,-5.4,5.4,2.5,0,100,,,,
Rosalind AGCM,2007-04-01,-5.548,-2.1,-4.141,79.934,,,,17.399,304.456,856.8,0,-5.5,5.5,3,0,100,,17.794,30.899,13.663
Seven Persons IMCIN,2005-04-01,-1.503,18.16,8.221,51.201,,,28.058,34.822,237.258,0.7,2.6,-3.6,8.9,1,0,100,4.946,3.328,0,3.031
Seven Persons IMCIN,2005-04-02,-1.295,12.03,5.113,53.339,0,0,20.149,24.447,268.892,1.8,2.1,-4,8.2,1.8,0,100,3.523,3.696,0,4.042
Seven Persons IMCIN,2005-04-03,-3.279,14.48,6.286,57.094,0,0,9.518,12.227,153.736,2.4,2.4,-4.1,8.8,2.6,0,100,2.901,4.296,0,5.723
Seven Persons IMCIN,2005-04-04,-2.045,15.5,7.015,55.495,0,0,11.964,15.727,281.654,3.1,3.6,-3.3,10.5,3.9,0,100,3.529,6.024,0,7.923
Seven Persons IMCIN,2005-04-05,-0.47,13.81,6.65,53.032,0.1,0.1,15.796,18.797,275.25,4.2,5.6,-1.4,12.6,6,0,100,3.677,8.026,0,9.837
Seven Persons IMCIN,2005-04-06,-1.274,20.96,8.817,49.457,0.1,0,16.19,19.845,244.579,4.7,4.5,-2,11,8,0,100,4.964,12.869,0,13.476
Seven Persons IMCIN,2005-04-07,4.972,25.38,15.839,36.873,0.1,0,16.789,21.843,222.7,5.2,4.1,-2.5,10.6,9.3,0,100,6.302,22.997,0,19.527
Seven Persons IMCIN,2005-04-08,4.369,16.94,10.882,49.94,0.1,0,18.453,23.304,274.958,5.9,4.8,-2.2,11.7,11,0,100,4.196,28.652,0,23.549
Seven Persons IMCIN,2005-04-09,4.095,7.85,5.972,59.569,0.1,0,21.838,26.933,220.967,6.6,5,-1.6,11.5,12.7,0,100,1.965,29.624,0,23.696
Seven Persons IMCIN,2005-04-10,-2.303,13.11,6.34,39.084,0.2,0.1,19.589,23.173,297.146,7.4,4.5,-2.4,11.5,14.2,0,100,4.24,30.028,0,24.996
Seven Persons IMCIN,2005-04-11,-3.331,16.33,7.834,39.938,0.2,0,14.454,18.91,237.783,7.7,4.7,-2.1,11.5,15.8,0,100,4.211,31.527,0,27.298
Seven Persons IMCIN,2005-04-12,-3.717,18.47,7.606,57.78,5.6,5.4,11.825,14.183,194.863,8.4,5.3,-2.2,12.8,17.7,0,100,3.876,33.904,0,30.165
Seven Persons IMCIN,2005-04-13,2.319,14.42,7.918,72.994,6.1,0.5,14.065,17.576,201.688,9.1,5.8,-1.3,13,20.2,0,100,2.7,37.273,0,32.556
Seven Persons IMCIN,2005-04-14,0.948,5.694,3.395,87.975,15,8.9,30.562,37.788,312.979,9.6,5.9,-0.8,12.6,22.7,0,100,0.747,37.273,0,32.556
Seven Persons IMCIN,2005-04-15,-0.39,12.15,6.033,54.549,15,0,24.431,30.708,261.467,9.9,6.3,-0.4,12.9,25.1,0,100,3.887,38.153,3.386,33.752
Seven Persons IMCIN,2005-04-16,0.062,21.57,10.521,53.373,15,0,17.744,22.569,226.908,10.6,6.3,-0.9,13.5,27.6,0,100,5.395,43.969,17.027,37.699
Seven Persons IMCIN,2005-04-17,4.608,15.42,10.088,55.205,15,0,11.218,14.134,196.047,10.8,6.6,-0.7,13.9,30.4,0.3,100,3.24,48.983,25.005,41.202
Seven Persons IMCIN,2005-04-18,0.974,12.47,7.257,59.177,15.1,0.1,15.582,20.035,110.312,11.6,6.6,-0.4,13.7,32.9,0.4,100,2.954,50.705,28.861,42.722
Seven Persons IMCIN,2005-04-19,-1.393,14.43,6.454,55.864,15.2,0.1,7.072,8.647,78.263,13.3,6.5,-0.4,13.4,35.5,1,100,3.356,52.224,35.413,44.644
Seven Persons IMCIN,2005-04-20,-4.299,16.72,8.137,49.429,15.2,0,7.123,8.444,189.9,15.1,6.7,-0.3,13.7,38.6,1.9,100,3.509,53.434,44.705,46.944
Seven Persons IMCIN,2005-04-21,-1.293,20.05,9.82,54.733,15.2,0,11.935,15.024,155.685,15.9,7.8,0.3,15.2,42.4,2.6,100,4.575,57.813,57.196,50.416
Seven Persons IMCIN,2005-04-22,1.579,20.19,12.164,40.287,15.2,0,13.158,16.14,152.454,16.7,8,0.7,15.4,46.2,3.9,100,5.04,63.697,69.802,54.521
Seven Persons IMCIN,2005-04-23,3.667,20.55,12.361,48.299,15.2,0,10.673,13.184,104.626,17.6,7.9,0.9,15,50.1,5.6,100,4.675,70.806,82.693,59.478
Seven Persons IMCIN,2005-04-24,0.114,18.67,10.351,51.07,15.2,0,12.389,15.576,70.638,18.4,8.1,0.9,15.3,54.1,8,100,4.6,75.198,93.971,62.793
Seven Persons IMCIN,2005-04-25,-2.689,19,9.739,49.911,15.2,0,9.871,11.038,215.2,19.6,7.4,0.7,14,57.3,9.5,96.5,4.41,78.353,105.554,65.902
Seven Persons IMCIN,2005-04-26,1.138,13,7.443,56.028,16.5,1.3,22.604,28.759,92.13,20.6,7.2,0.3,14,60.3,10.6,94.7,3.686,80.422,110.171,67.647
Seven Persons IMCIN,2005-04-27,-6.402,2.011,-0.896,69.65,16.6,0.1,19.459,23.697,166.137,22.8,7.6,0.5,14.7,64,12.3,94.7,1.475,80.422,110.171,67.647
Seven Persons IMCIN,2005-04-28,-6.921,2.441,-2.342,77.167,17.29,0.69,17.228,21.82,255.066,24.4,7.9,1.1,14.6,68,14.8,94.7,1.518,80.422,110.171,67.647
Seven Persons IMCIN,2005-04-29,-7.04,5.456,-0.327,62.336,17.5,0.21,20.531,25.224,278.029,25.6,7.8,1.1,14.6,71.8,17.4,94.7,2.621,80.422,110.171,67.647
Seven Persons IMCIN,2005-04-30,-4.972,-1.028,-2.926,79.89,18.2,0.7,16.926,19.655,250.574,26.4,8.1,1.3,15,75.5,20,94.7,0.887,80.422,110.171,67.647
Seven Persons IMCIN,2005-05-01,-4.536,4.325,-0.597,62.919,18.2,0,8.612,9.325,220.925,26.7,8.9,1.4,16.3,79.7,22.9,94.7,1.784,80.422,110.171,67.647
Seven Persons IMCIN,2005-05-02,-9.45,10.75,1.367,54.645,18.2,0,6.655,6.862,206.074,28.1,9.6,2.3,16.8,84.6,26.1,94.7,3.018,80.422,111.396,68.227
Seven Persons IMCIN,2005-05-03,-5.481,21.05,9.608,41.145,18.2,0,14.002,17.538,221.546,29.3,9.4,2,16.7,89.3,29.8,94.7,5.496,83.207,124.666,71.495
Seven Persons IMCIN,2005-05-04,2.372,17.05,10.162,50.339,18.2,0,9.963,12.335,159.04,30.9,9.3,2.4,16.1,93.9,33.2,91.2,3.865,87.918,134.317,74.774
Seven Persons IMCIN,2005-05-05,0.698,22.62,13.74,40.153,18.2,0,16.696,20.918,178.959,32.6,9.3,2.4,16.3,98.7,36.9,87.7,5.884,94.577,148.64,79.229
Seven Persons IMCIN,2005-05-06,9.98,22.42,15.944,46.627,18.2,0,17.672,20.476,116.198,34.2,11.1,3.9,18.3,105,43.8,84.2,5.248,105.777,167.863,86.977
Seven Persons IMCIN,2005-05-07,4.904,15.93,9.919,75.198,18.2,0,16.582,21.121,75.649,35.2,9.3,3.2,15.4,109.7,47.2,78.9,2.753,111.194,176.713,90.805
Seven Persons IMCIN,2005-05-08,3.086,15.79,10.008,65.689,18.2,0,11.864,13.886,71.888,36,9.8,2.8,16.8,114.8,51.5,75.4,3.512,115.632,184.945,93.849
Seven Persons IMCIN,2005-05-09,0.071,17.18,10.017,57.785,18.2,0,9.514,10.248,72.523,37,9.6,3,16.1,119.5,56,73.7,3.502,119.257,194.735,96.797
Seven Persons IMCIN,2005-05-10,-1.554,12.33,7.444,49.869,18.2,0,21.215,27.87,65.051,38.4,9.6,3,16.2,124.4,60.7,73.7,4.037,119.645,198.386,97.894
Seven Persons IMCIN,2005-05-11,-5.959,15.9,6.277,40.639,18.2,0,12.34,15.208,139.008,39.6,9.5,2.2,16.7,129.2,65.3,70.2,4.58,119.645,206.747,99.702
Seven Persons IMCIN,2005-05-12,1.451,14.93,8.38,49.84,18.2,0,17.703,21.6,196.717,41.3,10.4,2.9,18,134.8,70.8,63.2,4.651,122.836,213.935,102.153
Seven Persons IMCIN,2005-05-13,0.044,15.18,8.951,50.065,18.2,0,18.102,22.515,107.998,42.8,11.1,3.8,18.5,141,77.2,57.9,4.901,125.448,221.433,104.512
Seven Persons IMCIN,2005-05-14,-1.475,23.42,12.582,39.84,18.2,0,16.037,19.425,187.781,44,11.6,4.1,19,147.6,84.4,50.9,6.353,131.42,236.213,108.418
Seven Persons IMCIN,2005-05-15,7.07,25.66,16.725,52.165,18.2,0,12.121,14.946,247.92,45.9,11.8,4.8,18.7,154.5,91.7,43.9,5.84,142.785,254.39,114.963
Seven Persons IMCIN,2005-05-16,8.2,26.61,18.433,50.431,18.2,0,11.278,13.942,205.862,47.5,11.9,4.2,19.5,161.4,98.9,42.1,5.798,155.19,273.878,121.976
Seven Persons IMCIN,2005-05-17,7.56,15.85,12.747,85.951,22.2,4,12.425,15.765,232.013,48.7,12.6,5.6,19.7,169.1,106.8,38.6,1.821,161.895,285.025,126.883
Seven Persons IMCIN,2005-05-18,2.761,22.29,13.463,52.861,22.3,0.1,13.324,15.57,252.225,49.9,12.1,5.4,18.9,176.3,114.8,36.8,5.705,169.421,299.144,131.971
Seven Persons IMCIN,2005-05-19,5.691,22.66,14.784,45.001,22.3,0,24.978,31.901,250.183,51.4,12.4,5.1,19.7,183.7,123.7,31.6,7.054,178.596,314.653,137.989
Seven Persons IMCIN,2005-05-20,5.523,23.21,15.108,36.843,22.3,0,16.673,20.935,245.104,52.3,12.6,5.4,19.7,191.3,133.6,26.3,6.69,187.963,330.33,144.038
Seven Persons IMCIN,2005-05-21,8.39,20.41,14.154,38.191,22.3,0,24.474,30.458,295.488,53.7,12.7,5.7,19.7,199,144.9,24.6,7.151,197.363,346.702,150.727
Seven Persons IMCIN,2005-05-22,3.303,23.15,14.272,38.363,22.39,0.09,21.687,27.533,245.475,55.6,12.5,5.6,19.4,206.6,155.4,19.3,7.07,205.589,361.334,156.145
Seven Persons IMCIN,2005-05-23,5.198,19.61,12.741,45.359,22.39,0,20.745,25.291,274.366,56.3,12.9,5.8,20,214.6,166.3,15.8,6.083,212.993,374.174,161.34
Seven Persons IMCIN,2005-05-24,6.654,15.47,9.983,71.77,26.7,4.31,14.8,17.73,285.073,58.5,13.2,6.4,20,222.8,177.2,14,2.811,219.055,384.053,165.629
Seven Persons IMCIN,2005-05-25,5.116,18.64,11.245,57.594,26.7,0,20.276,25.586,297.887,60.2,13.5,6.8,20.2,231.3,189.5,10.5,4.989,225.933,395.948,170.507
Seven Persons IMCIN,2005-05-26,4.265,19.14,11.688,46.989,26.7,0,18.244,23.967,227.344,62.4,13.7,6.9,20.5,240,202.5,7,5.866,232.636,407.657,175.252
Seven Persons IMCIN,2005-05-27,-0.176,20.85,11.755,43.625,26.8,0.1,10.242,11.971,162.57,64.1,14,7.1,20.8,249,216.3,5.3,5.479,237.973,420.778,178.964
Seven Persons IMCIN,2005-05-28,2.357,19.9,11.785,46.057,26.8,0,12.788,14.433,129.974,65.4,13.4,6.7,20.1,257.4,229.3,5.3,5.511,244.101,433.145,183.267
Seven Persons IMCIN,2005-05-29,,,,,26.8,0,,,,67.8,13.8,7,20.7,266.3,243,5.3,,,,
Seven Persons IMCIN,2005-05-30,2.494,22.13,14.285,44.041,26.8,0,13.332,15.867,178.8,68.6,13.9,7.1,20.8,275.2,257.5,5.3,6.114,251.413,447.162,188.233
Seven Persons IMCIN,2005-05-31,4.051,19.99,13.813,54.258,26.8,0,14.501,17.822,170.738,69.6,13.7,6.8,20.5,283.9,271.4,5.3,4.569,258.434,459.604,193.16
Seven Persons IMCIN,2005-06-01,6.37,17.69,12.54,70.991,31.8,5,12.787,15.48,71.032,70.2,14.2,6.9,21.5,293.1,286.2,5.3,2.759,265.464,471.697,198.149
Seven Persons IMCIN,2005-06-02,10.36,14.13,11.932,90.642,42.7,10.9,22.284,28.052,265.045,71.7,14.8,7.6,22,302.9,301.6,5.3,1.582,272.709,483.221,204.024
Seven Persons IMCIN,2005-06-03,10.69,15.64,12.66,88.742,58.59,15.89,17.006,20.62,156.194,73.9,15.1,8.2,21.9,313,317.7,3.5,1.998,280.874,496.937,210.6
Seven Persons IMCIN,2005-06-04,10.21,18.5,13.722,82.716,71.5,12.91,8.8,10.204,136.7,75.2,15.3,8.2,22.5,323.3,334.4,3.5,3.296,290.229,513.284,217.756
Seven Persons IMCIN,2005-06-05,9.85,19.25,14.19,79.766,72,0.5,12.166,14.887,69.105,76.8,15.7,8.9,22.6,334,351.5,3.5,3.606,299.779,529.996,224.916
Seven Persons IMCIN,2005-06-06,10.95,13.35,11.825,93.475,86.7,14.7,19.076,24.522,74.764,80.3,14.6,8.3,20.8,343.6,367.2,3.5,0.755,306.929,540.998,230.8
Seven Persons IMCIN,2005-06-07,7.56,14.85,10.976,81.247,107.3,20.6,26.37,33.145,142.879,82.6,15.6,8.6,22.6,354.2,384.4,3.5,3.261,313.134,550.929,235.325
Seven Persons IMCIN,2005-06-08,6.942,12.89,9.664,83.195,107.59,0.29,11.897,13.518,91.333,84.9,14.8,8.3,21.3,364,400.8,3.5,1.866,318.05,557.678,238.61
Seven Persons IMCIN,2005-06-09,7.19,14.22,10.799,86.725,111.8,4.21,6.029,6.99,158.168,86.9,15,8.3,21.7,374,417.2,1.8,1.727,323.755,566.467,242.638
Seven Persons IMCIN,2005-06-10,6.796,19.81,13.687,74.777,113.89,2.09,8.087,10.36,233.332,88.8,15,8.5,21.5,384,433.6,1.8,3.697,332.058,580.915,248.371
Seven Persons IMCIN,2005-06-11,7.71,22.49,15.179,69.387,114,0.11,9.632,11.697,236.273,91,14.9,8.2,21.6,393.9,449.9,1.8,4.987,342.158,598.138,255.069
Seven Persons IMCIN,2005-06-12,7.16,20.96,13.883,80.719,116.5,2.5,8.772,9.738,224.961,93.6,15.1,8.3,21.9,404,466.7,1.8,3.335,351.218,613.826,261.215
Seven Persons IMCIN,2005-06-13,8.31,19.41,13.625,77.243,121.2,4.7,11.738,14.688,280.546,96.9,15.5,8.9,22,414.5,483.9,0,3.805,360.078,629.293,267.636
Seven Persons IMCIN,2005-06-14,5.218,21.99,14.646,56.899,121.3,0.1,11.111,13.438,206.017,99,15.4,8.7,22.1,424.9,501.1,0,5.42,368.682,643.955,273.412
Seven Persons IMCIN,2005-06-15,8.45,21.27,15.587,57.885,121.3,0,15.121,18.813,250.4,103.8,15.5,8.9,22.1,435.4,518.1,0,5.592,378.542,661.03,280.299
Seven Persons IMCIN,2005-06-16,5.093,21.68,14.576,65.144,121.39,0.09,14.714,19.435,82.694,106.5,15.9,9.2,22.6,446.3,535.8,0,4.274,386.928,675.371,285.977
Seven Persons IMCIN,2005-06-17,9.71,22.84,14.365,89.163,164.49,43.1,16.432,20.808,119.906,109.2,16.4,9.5,23.3,457.7,554.3,0,2.714,398.203,694.604,293.647
Seven Persons IMCIN,2005-06-18,7.94,21.52,14.404,70.108,164.59,0.1,17.393,20.99,254.237,111.7,16.3,9.4,23.1,469,572.5,0,5.251,407.933,711.397,300.319
Seven Persons IMCIN,2005-06-19,4.848,22.23,14.491,65.839,164.7,0.11,16.202,20.446,252.5,113.9,16.3,9.2,23.4,480.3,590.8,0,5.706,416.472,725.881,306.033
Seven Persons IMCIN,2005-06-20,7.11,27.39,18.162,59.397,164.7,0,9.681,12.433,198.049,115.2,16.3,9.2,23.3,491.6,609.1,0,6.486,428.722,744.573,312.485
Seven Persons IMCIN,2005-06-21,11.9,31.64,22.254,65.163,164.7,0,8.509,11.078,142.453,117.2,16.9,9.9,23.9,503.5,628.2,0,6.111,445.492,767.686,319.569
Seven Persons IMCIN,2005-06-22,13.94,29.99,22.086,54.251,164.7,0,14.133,17.911,228.167,119.7,16.9,10.1,23.7,515.4,647.2,0,7.496,462.457,792.772,327.197
Seven Persons IMCIN,2005-06-23,7.97,19.24,14.305,65.052,164.9,0.2,16.834,21.087,253.766,121.3,16.8,9.9,23.7,527.2,666.2,0,5.087,471.062,807.784,333.392
Seven Persons IMCIN,2005-06-24,4.633,20.36,13.802,62.231,164.99,0.09,10.39,13.713,116.897,122.8,16.8,9.8,23.8,539,685,0,4.692,478.559,820.735,338.613
Seven Persons IMCIN,2005-06-25,9.08,22.97,15.094,69.782,164.99,0,7.33,11.438,128.546,125.2,17.1,9.8,24.4,551.1,704.3,0,3.861,489.584,839.477,346.019
Seven Persons IMCIN,2005-06-26,7.62,19.22,13.51,77.332,165.09,0.1,10.912,14.235,179.472,127.2,17.4,10,24.9,563.5,723.8,0,3.489,498.004,854.156,352.014
Seven Persons IMCIN,2005-06-27,8.75,17.51,14.027,83.585,169.9,4.81,11.228,14.909,75.798,131.4,17.3,10.3,24.2,575.8,743.4,0,1.794,506.134,868.206,358.163
Seven Persons IMCIN,2005-06-28,11.07,18.62,14.056,85.991,186.59,16.69,19.294,23.34,192.398,133.3,17.4,10.2,24.6,588.2,763.1,0,3.209,515.979,885.44,365.736
Seven Persons IMCIN,2005-06-29,8.51,17.63,13.23,84.123,190.7,4.11,17.335,20.493,234.204,136.4,17.2,10.5,23.9,600.4,782.4,0,2.901,524.049,899.398,371.788
Seven Persons IMCIN,2005-06-30,5.806,25.42,16.441,73.735,190.9,0.2,9.168,11.425,225.696,139.1,17.1,10.2,23.9,612.5,801.4,0,5.161,534.662,916.351,378.052
Seven Persons IMCIN,2005-07-01,11.52,25.74,18.16,71.095,190.9,0,8.997,10.376,230.858,140.3,17.3,10,24.6,624.8,821.1,0,5.495,548.292,938.561,386.368
Seven Persons IMCIN,2005-07-02,10.58,20.45,14.726,75.18,193.2,2.3,12.022,15.437,242.657,141.4,17.7,10.2,25.2,637.5,841.3,0,4.233,558.807,956.936,394.097
Seven Persons IMCIN,2005-07-03,8.76,22.3,15.814,64.111,193.3,0.1,13.315,15.978,274.957,142.4,17.8,10.4,25.2,650.3,861.6,0,5.417,569.337,974.985,401.287
Seven Persons IMCIN,2005-07-04,8.79,24.95,17.851,60.375,193.3,0,10.632,12.735,233.283,143,18.4,11.1,25.8,663.7,882.5,0,5.99,581.207,994.441,408.635
Seven Persons IMCIN,2005-07-05,11.01,27.81,19.85,63.144,193.3,0,10.578,13.155,234.821,145,18.3,11.3,25.4,677,903.5,0,6.131,595.617,"1,016.72",416.471
Seven Persons IMCIN,2005-07-06,13.55,29.86,21.139,56.615,193.3,0,16.975,21.458,255.213,146.8,18.4,11,25.8,690.4,924.4,0,7.29,612.322,"1,041.46",424.118
Seven Persons IMCIN,2005-07-07,13.61,25.94,18.881,63.246,193.3,0,9.583,11.296,229.57,148.5,18.3,10.9,25.6,703.7,945.4,0,5.535,627.097,"1,065.62",432.95
Seven Persons IMCIN,2005-07-08,9.82,32.18,21.482,56.562,193.3,0,12.155,14.719,242.634,150.2,19.3,11.2,27.4,718,967.1,0,7.777,643.097,"1,086.76",439.563
Seven Persons IMCIN,2005-07-09,12.45,21.7,18.323,58.612,193.3,0,13.607,16.592,269.053,151.3,19.2,11.7,26.7,732.2,988.8,0,4.728,655.172,"1,107.74",448.174
Seven Persons IMCIN,2005-07-10,7.77,23.81,15.963,63.858,193.4,0.1,12.061,14.462,266.542,153.3,18.7,11.8,25.7,745.9,1010.3,0,5.441,665.962,"1,125.75",455.025
Seven Persons IMCIN,2005-07-11,8.77,25.64,17.898,58.458,193.49,0.09,14.764,18.62,253.446,154.7,18.7,11,26.3,759.6,1031.6,0,6.445,678.167,"1,145.45",462.344
Seven Persons IMCIN,2005-07-12,10.46,33.75,21.885,53.8,193.9,0.41,10.535,13.171,246.25,155.6,18.9,11,26.7,773.5,1052.9,0,7.692,695.272,"1,166.76",468.759
Seven Persons IMCIN,2005-07-13,10.12,28.55,19.242,63.215,194.09,0.19,13.968,17.52,229.273,157.1,18.8,11.4,26.1,787.3,1074.3,0,6.932,709.607,"1,188.34",476.158
Seven Persons IMCIN,2005-07-14,6.624,25.94,17.009,60.314,194.2,0.11,9.211,11.143,221.739,158.7,18.8,11.3,26.4,801.1,1095.7,0,5.79,720.889,"1,206.21",482.589
Seven Persons IMCIN,2005-07-15,9.37,31.7,21.033,54.136,194.2,0,9.074,11.648,222.075,159.6,18.9,11.1,26.8,815,1117,0,6.739,736.424,"1,227.04",489.166
Seven Persons IMCIN,2005-07-16,11.84,22.17,17.171,73.857,194.7,0.5,16.007,19.977,294.977,160.8,19,11.6,26.4,829,1138.5,0,4.193,748.429,"1,247.78",497.61
Seven Persons IMCIN,2005-07-17,10.3,22.94,15.906,71.739,194.7,0,17.241,21.542,314.558,161.6,19.1,11.7,26.5,843.1,1160.2,0,4.298,760.049,"1,267.60",505.531
Seven Persons IMCIN,2005-07-18,9.02,28.97,19.642,55.864,194.7,0,16.151,20.716,228.643,162.9,18.7,11.5,25.9,856.8,1181.4,0,7.451,774.044,"1,288.23",512.471
Seven Persons IMCIN,2005-07-19,9.13,23.8,16.565,61.324,194.8,0.1,11.268,14.231,51.005,164.4,18.8,11.1,26.6,870.6,1202.6,0,5.502,785.509,"1,307.46",519.949
Seven Persons IMCIN,2005-07-20,10.85,30.24,20.318,56.864,194.8,0,8.972,9.85,120.767,165.4,19.5,11.3,27.6,885.1,1224.4,0,6.647,801.054,"1,329.76",527.056
Seven Persons IMCIN,2005-07-21,9.16,25.83,17.714,65.5,194.8,0,11.206,13.457,155.333,166.2,19.7,11.5,27.8,899.8,1246.4,0,5.791,813.549,"1,349.88",534.525
Seven Persons IMCIN,2005-07-22,14.64,31.61,23.77,50.765,194.8,0,17.979,23.018,180.883,166.7,19.7,11.8,27.6,914.5,1268.7,0,7.177,831.674,"1,375.46",541.827
Seven Persons IMCIN,2005-07-23,13.21,27.25,21.195,47.799,194.8,0,18.995,23.387,253.192,167.3,19.7,11.7,27.8,929.2,1291,0,7.527,846.904,"1,399.62",550.313
Seven Persons IMCIN,2005-07-24,7.25,21.15,14.273,65.465,194.8,0,15.832,20.167,58.012,168.8,19.7,12,27.4,943.9,1313.5,0,4.833,856.104,"1,415.52",556.548
Seven Persons IMCIN,2005-07-25,6.314,21.83,14.041,61.585,194.9,0.1,7.669,9.438,261.137,170.1,19.3,11.7,26.8,958.2,1335.4,0,4.34,865.176,"1,431.06",562.594
Seven Persons IMCIN,2005-07-26,6.598,25.48,16.448,55.934,194.9,0,10.439,12.313,193.008,171.3,19.6,11.4,27.8,972.8,1357.5,0,5.567,876.215,"1,448.75",569.027
Seven Persons IMCIN,2005-07-27,12.52,24.73,17.991,54.828,194.9,0,10.611,12.885,64.184,171.8,20.4,12.5,28.2,988.2,1380.6,0,5.43,889.84,"1,471.47",577.715
Seven Persons IMCIN,2005-07-28,9.89,31.48,21.112,47.947,194.9,0,7.896,10.189,145.886,173.8,20.4,12.3,28.6,1003.6,1403.6,0,6.601,905.525,"1,492.80",584.449
Seven Persons IMCIN,2005-07-29,11.76,33.71,21.717,54.729,194.9,0,9.544,11.552,167.548,174.7,20,12.1,27.8,1018.6,1426.3,0,7.307,923.26,"1,515.29",591.032
Seven Persons IMCIN,2005-07-30,12.04,32.18,22.37,51.339,194.9,0,9.535,10.172,219.38,175.5,19.1,11.6,26.5,1032.7,1447.9,0,6.895,940.37,"1,538.43",598.022
Seven Persons IMCIN,2005-07-31,12.36,33.2,23.755,37.702,194.9,0,12.425,15.977,262.65,176.7,19.3,11.4,27.2,1047,1469.6,0,8.301,958.15,"1,561.62",604.794
Seven Persons IMCIN,2005-08-01,14.87,33.42,22.726,48.763,195.49,0.59,8.1,10.366,205.901,178,19.4,11.4,27.5,1061.4,1491.1,0,5.449,977.295,"1,587.00",611.543
Seven Persons IMCIN,2005-08-02,10.22,27.32,18.08,57.525,195.59,0.1,11.925,15.243,191.122,178.9,19.4,11.7,27.2,1075.8,1513.1,0,6.216,991.065,"1,608.48",619.237
Seven Persons IMCIN,2005-08-03,8.14,24.64,16.65,53.09,195.7,0.11,9.748,11.38,182.825,180,19.2,11.6,26.7,1090,1534.6,0,5.414,"1,002.46","1,627.22",626.295
Seven Persons IMCIN,2005-08-04,7.05,31.94,20.12,41.725,195.7,0,11.929,14.638,225.454,181.4,19.8,11.8,27.8,1104.8,1556.6,0,7.753,"1,016.95","1,645.91",632.145
Seven Persons IMCIN,2005-08-05,11.68,30.98,21.87,35.729,195.7,0,12.469,14.898,269.454,182.4,20.3,12.3,28.3,1120.1,1579,0,7.741,"1,033.28","1,668.91",639.313
Seven Persons IMCIN,2005-08-06,11.75,31.61,20.99,41.245,195.7,0,9.174,10.965,229.08,183,20.1,12.4,27.9,1135.2,1601.6,0,6.87,"1,049.96","1,691.89",646.38
Seven Persons IMCIN,2005-08-07,12.52,28.8,20.517,49.282,195.7,0,14.076,17.113,169.526,184,19.7,12,27.4,1149.9,1623.7,0,6.838,"1,065.62","1,715.66",654.287
Seven Persons IMCIN,2005-08-08,13.09,24.01,17.186,60.691,196.8,1.1,13.998,17.628,65.706,185,19,11.6,26.3,1163.9,1645.3,0,4.792,"1,079.17","1,738.56",663.165
Seven Persons IMCIN,2005-08-09,12.15,19.95,15.088,78.445,213.8,17,11.305,13.938,114.582,186.1,19,10.8,27.3,1177.9,1666.3,0,2.777,"1,090.22","1,757.95",671.435
Seven Persons IMCIN,2005-08-10,10.58,13.42,11.717,91.752,224.99,11.19,11.179,14.087,63.092,187.3,19.6,11.5,27.7,1192.5,1688,0,0.524,"1,097.22","1,768.71",677.151
Seven Persons IMCIN,2005-08-11,8.49,20.22,13.895,72.06,225.4,0.41,15.274,17.885,278.589,188.1,18.8,11,26.6,1206.3,1709,0,3.892,"1,106.58","1,785.02",683.852
